,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow
935,22-C-1585890,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,54.0,2.0,44,5,1585890.0,LH195 X LH185,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,82.0,218.0,27000.0,21.84,194.38,15.4,NA,15.589,NA,4.592,2.478,NA,14.5,526.0,26.062,137.0,17.867,NA,NA,NA,NA,NA,NA,NA,3.7,2022-10-07,Check,5-44
936,22-C-1585891,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,64.0,2.0,44,15,1585891.0,LH74 X PHN82,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,95.0,209.0,32000.0,19.2,170.28,15.7,NA,17.42,NA,4.684,2.686,NA,15.5,579.0,30.081,174.2,23.967,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,15-44
937,22-C-1585892,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,53.0,2.0,44,4,1585892.0,LH123HT X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,123.0,264.0,26500.0,19.02,172.69,13.7,NA,16.285,NA,4.553,2.62,NA,16.0,492.0,27.36,134.7,21.9,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,4-44
938,22-C-1585893,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,57.0,2.0,45,9,1585893.0,PHK76 X LH82,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,117.0,228.0,28500.0,18.63,169.93,13.3,NA,15.769,NA,4.649,2.581,NA,16.0,540.0,27.776,149.9,18.967,NA,NA,NA,NA,NA,NA,NA,8.77,2022-10-07,Check,9-45
939,22-C-1585894,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,52.0,2.0,43,17,1585894.0,PIONEER 1311 AMXT,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,107.0,245.0,26000.0,26.5,231.68,16.9,NA,19.257,NA,5.164,2.666,NA,18.0,651.0,35.084,NA,25.367,NA,NA,NA,NA,NA,NA,NA,3.85,2022-10-07,Check,17-43
940,22-C-1585895,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,69.0,2.0,43,18,1585895.0,PHB47 X PHK56,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,96.0,243.0,34500.0,20.83,188.9,13.8,NA,15.917,NA,4.378,2.383,NA,13.5,488.0,27.143,132.4,19.419,NA,NA,NA,NA,NA,NA,NA,2.9,2022-10-07,Check,18-43
941,22-C-1585896,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,68.0,2.0,46,10,1585896.0,B73 X PHZ51,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,138.0,257.0,34000.0,17.26,154.89,14.7,NA,18.294,NA,4.504,2.63,NA,15.5,623.0,27.319,170.2,27.4,NA,NA,NA,NA,NA,NA,NA,4.41,2022-10-07,Check,10-46
942,22-C-1585897,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,70.0,2.0,42,6,1585897.0,PHJ40 X LH82,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,91.0,194.0,35000.0,17.5,158.33,14.0,NA,15.247,NA,4.294,2.504,NA,14.0,429.0,27.516,118.1,21.167,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,6-42
943,22-C-1585898,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,63.0,2.0,46,7,1585898.0,B37 X H95,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,119.0,254.0,31500.0,15.73,136.53,17.5,NA,15.199,NA,4.692,2.902,NA,18.0,553.0,24.442,135.2,27.7,NA,NA,NA,NA,NA,NA,NA,17.46,2022-10-07,Check,7-46
944,22-C-1585899,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,62.0,2.0,43,16,1585899.0,2FACC X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,83.0,212.0,31000.0,19.16,175.77,12.8,NA,16.544,NA,4.552,2.523,NA,17.0,513.0,28.467,146.0,21.7,NA,NA,NA,NA,NA,NA,NA,4.84,2022-10-07,Cob broke in pieces during shelling;Check,16-43
945,22-C-1585900,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,62.0,2.0,43,19,1585900.0,PHT69 X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,115.0,232.0,31000.0,17.55,161.19,12.7,NA,14.804,NA,4.225,2.261,NA,14.5,417.0,26.206,109.4,13.702,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,19-43
946,22-C-1585901,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,54.0,2.0,46,14,1585901.0,PHK56 X LH82,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,90.0,204.0,27000.0,17.19,154.08,14.8,NA,15.256,NA,4.601,2.467,NA,18.5,637.0,25.937,165.1,21.533,NA,NA,NA,NA,NA,NA,NA,1.85,2022-10-07,Check,14-46
947,22-C-1585902,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,69.0,2.0,45,5,1585902.0,PHK76 X W606S,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,99.0,237.0,34500.0,17.02,154.35,13.8,NA,18.067,NA,4.19,2.732,NA,14.0,483.0,21.837,105.4,20.267,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,5-45
948,22-C-1585903,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,62.0,2.0,45,19,1585903.0,B73 X MO17,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,117.0,242.0,31000.0,23.44,207.88,15.7,NA,18.337,NA,4.352,2.381,NA,14.5,501.0,31.876,159.7,22.774,NA,NA,NA,NA,NA,NA,NA,1.61,2022-10-07,Check,19-45
949,22-C-1585904,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,60.0,2.0,45,6,1585904.0,LH82 X PHJ89,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,98.0,221.0,30000.0,20.16,182.19,14.1,NA,16.996,NA,4.589,2.437,NA,16.0,626.0,26.285,164.6,17.367,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,6-45
950,22-C-1585905,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,64.0,2.0,46,5,1585905.0,LH82 X PHB47,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,107.0,223.0,32000.0,16.52,149.47,14.0,NA,16.434,NA,4.277,2.559,NA,16.5,614.0,21.266,130.5,17.667,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,5-46
951,22-C-1585906,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,62.0,2.0,42,12,1585906.0,PHB47 X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,107.0,230.0,31000.0,19.04,174.67,12.8,NA,17.223,NA,4.287,2.475,NA,15.0,499.0,23.845,119.1,18.6,NA,NA,NA,NA,NA,NA,NA,3.23,2022-10-07,Check,12-42
952,22-C-1585907,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,57.0,2.0,42,4,1585907.0,PHP02 X PHJ89,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,100.0,226.0,28500.0,19.38,175.95,13.7,NA,15.569,NA,4.606,2.417,NA,15.5,547.0,26.127,143.0,15.533,NA,NA,NA,NA,NA,NA,NA,1.75,2022-10-07,Check,4-42
953,22-C-1585908,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,66.0,2.0,46,15,1585908.0,LH195 X PHM49,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,89.0,202.0,33000.0,10.92,99.14,13.7,NA,16.161,NA,3.882,2.417,NA,14.0,447.0,21.7,97.0,15.967,NA,NA,NA,NA,NA,NA,NA,1.52,2022-10-07,Check,15-46
954,22-C-1585909,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,60.0,2.0,43,6,1585909.0,2369 X PHN82,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,100.0,222.0,30000.0,19.57,172.74,16.1,NA,17.61,NA,4.734,2.748,NA,16.5,610.0,29.765,181.7,27.7,NA,NA,NA,NA,NA,NA,NA,18.33,2022-10-07,Check,6-43
955,22-C-1585911,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,52.0,2.0,43,12,1585911.0,PHK56 X LH198,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,101.0,227.0,26000.0,22.96,205.56,14.9,NA,14.968,NA,4.518,2.423,NA,15.0,532.0,30.013,159.6,21.033,NA,NA,NA,NA,NA,NA,NA,3.85,2022-10-07,Check,12-43
956,22-C-1585912,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,58.0,2.0,46,19,1585912.0,LH198 X PHB47,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,113.0,239.0,29000.0,17.62,158.86,14.3,NA,16.038,NA,4.259,2.258,NA,13.0,451.0,29.327,132.2,22.207,NA,NA,NA,NA,NA,NA,NA,6.9,2022-10-07,Check,19-46
957,22-C-1585913,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,57.0,2.0,44,3,1585913.0,2369 X PHZ51,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,131.0,268.0,28500.0,17.96,161.36,14.6,NA,16.892,NA,4.282,2.532,NA,14.5,539.0,27.05,145.8,22.133,NA,NA,NA,NA,NA,NA,NA,7.02,2022-10-07,Check,3-44
958,22-C-1585914,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,69.0,2.0,46,4,1585914.0,LH74 X PHM49,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,108.0,211.0,34500.0,19.89,177.03,15.4,NA,17.287,NA,4.421,2.334,NA,14.5,540.0,30.729,165.8,20.033,NA,NA,NA,NA,NA,NA,NA,2.9,2022-10-07,Check,4-46
959,22-C-1585915,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,63.0,2.0,44,14,1585915.0,LH198 X PHZ51,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,125.0,266.0,31500.0,19.77,177.0,14.9,NA,17.323,NA,4.312,2.605,NA,15.0,509.0,28.802,146.6,26.767,NA,NA,NA,NA,NA,NA,NA,1.59,2022-10-07,Check,14-44
960,22-C-1585916,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,62.0,2.0,45,18,1585916.0,PHB47 X LH185,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,86.0,227.0,31000.0,19.93,180.74,13.8,NA,17.221,NA,4.27,2.378,NA,13.0,500.0,27.9,139.5,18.474,NA,NA,NA,NA,NA,NA,NA,4.84,2022-10-07,Severe bend in ear. String used to measure ear length;Check,18-45
961,22-C-1585917,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,62.0,2.0,44,8,1585917.0,PHW52 X PHM49,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,97.0,224.0,31000.0,21.49,185.62,17.9,NA,15.761,NA,4.452,2.225,NA,14.5,407.0,30.942,125.9,15.933,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,8-44
962,22-C-1585918,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,60.0,2.0,43,9,1585918.0,4N506 X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,115.0,257.0,30000.0,16.42,149.43,13.5,NA,16.382,NA,4.63,2.597,NA,16.5,477.0,28.686,136.8,19.733,NA,NA,NA,NA,NA,NA,NA,11.67,2022-10-07,Check,9-43
963,22-C-1585919,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,70.0,2.0,45,10,1585919.0,PHP02 X PHG47,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,110.0,210.0,35000.0,18.87,172.12,13.3,NA,17.181,NA,4.287,2.346,NA,15.5,543.0,24.748,134.5,16.4,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,10-45
964,22-C-1585920,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,59.0,2.0,46,6,1585920.0,LH195 X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,119.0,244.0,29500.0,16.49,149.37,13.9,NA,17.923,NA,4.579,2.619,NA,16.5,639.0,24.215,154.7,21.4,NA,NA,NA,NA,NA,NA,NA,5.08,2022-10-07,Check,6-46
965,22-C-1585921,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,63.0,2.0,44,11,1585921.0,PHK76 X LH145,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,105.0,214.0,31500.0,15.87,143.42,14.1,NA,17.582,NA,3.981,2.485,NA,14.5,517.0,24.014,124.2,23.267,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,11-44
966,22-C-1585922,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,59.0,2.0,45,13,1585922.0,PHP02 X PHK76,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,106.0,223.0,29500.0,17.3,156.16,14.2,NA,15.512,NA,4.397,2.457,NA,13.5,466.0,30.072,140.1,18.433,NA,NA,NA,NA,NA,NA,NA,5.08,2022-10-07,Check,13-45
967,22-C-1585923,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,71.0,2.0,45,12,1585923.0,B14A X MO17,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,121.0,243.0,35500.0,23.35,205.37,16.4,NA,16.228,NA,4.479,2.543,NA,14.5,512.0,27.142,139.0,21.167,NA,NA,NA,NA,NA,NA,NA,5.63,2022-10-07,Check,12-45
968,22-C-1585924,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,66.0,2.0,46,18,1585924.0,PHK76 X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,119.0,221.0,33000.0,16.12,147.03,13.3,NA,17.467,NA,4.235,2.279,NA,15.0,497.0,29.168,145.0,20.979,NA,NA,NA,NA,NA,NA,NA,4.55,2022-10-07,Check,18-46
969,22-C-1585925,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,66.0,2.0,45,11,1585925.0,HOEGEMEYER 7089 AMXT,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,97.0,230.0,33000.0,24.83,224.91,13.9,NA,17.683,NA,4.74,2.438,NA,16.0,573.0,34.078,195.3,23.9,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,11-45
970,22-C-1585926,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,58.0,2.0,46,17,1585926.0,PHP02 X PHB47,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,95.0,224.0,29000.0,16.74,151.99,13.7,NA,16.534,NA,4.491,2.459,NA,16.0,517.0,26.215,135.5,17.34,NA,NA,NA,NA,NA,NA,NA,8.62,2022-10-07,Check,17-46
971,22-C-1585927,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,57.0,2.0,42,14,1585927.0,LH195 X PHZ51,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,97.0,237.0,28500.0,19.86,173.42,17.0,NA,18.056,NA,4.258,2.471,NA,15.0,530.0,26.866,142.3,23.7,NA,NA,NA,NA,NA,NA,NA,1.75,2022-10-07,Check,14-42
972,22-C-1585929,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,67.0,2.0,44,16,1585929.0,LH185 X LH82,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,85.0,192.0,33500.0,19.56,175.74,14.6,NA,15.461,NA,4.654,2.669,NA,17.5,476.0,29.738,141.7,18.4,NA,NA,NA,NA,NA,NA,NA,2.99,2022-10-07,x - seed spilled during shelling;Check,16-44
973,22-C-1585930,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,62.0,2.0,42,11,1585930.0,B84 X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,128.0,251.0,31000.0,20.35,186.47,12.9,NA,17.726,NA,4.649,2.615,NA,16.5,566.0,27.886,157.8,25.3,NA,NA,NA,NA,NA,NA,NA,11.29,2022-10-07,Check,11-42
974,22-C-1585931,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,67.0,2.0,44,19,1585931.0,B73 X 3IIH6,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,121.0,240.0,33500.0,18.6,170.44,12.9,NA,18.079,NA,4.967,2.676,NA,18.5,696.0,28.143,196.0,27.0,NA,NA,NA,NA,NA,NA,NA,22.39,2022-10-07,Check,19-44
975,22-C-1585932,Crawfordsville,Crawfordsville B,0.0,Medium,150.0,LC_4353,17.5,72.0,2.0,44,7,1585932.0,PHP02 X LH198,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,103.0,215.0,36000.0,19.73,176.02,15.2,NA,14.234,NA,4.663,2.583,NA,14.0,393.0,33.686,132.5,21.4,NA,NA,NA,NA,NA,NA,NA,0.0,2022-10-07,Check,7-44
976,5101$ROW15$RANGE2$PHW52 X PHM49,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,15,2,5101.0,PHW52 X PHM49,2022-05-22,2022-07-24,2022-07-24,63.0,63.0,0.0,1451.51,1451.51,0.0,81.0,180.0,NA,8.66,77.44,15.0,61.4,15.6,13.5,3.9,2.5,30.5,13.5,316.0,28.0,87.1,13.2,4.39,69.2,10.14,3.76,1.31,1.05,orange,NA,2022-10-10 09:56:41,NA,2-15
977,5102$ROW15$RANGE3$2369 X PHZ51,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,15,3,5102.0,2369 X PHZ51,2022-05-22,2022-07-19,2022-07-24,58.0,63.0,5.0,1320.57,1451.51,130.94,92.0,209.0,NA,5.19,47.01,13.9,62.0,18.3,16.8,4.0,3.0,37.2,16.5,510.0,24.4,124.9,27.2,4.56,65.83,11.56,3.77,1.25,1.25,orange,NA,2022-10-10 10:23:13,NA,3-15
978,5103$ROW15$RANGE4$PHB47 X LH185,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,15,4,5103.0,PHB47 X LH185,2022-05-22,2022-07-19,2022-07-24,58.0,63.0,5.0,1320.57,1451.51,130.94,80.0,179.0,NA,5.05,45.58,14.2,61.7,18.4,17.4,4.1,2.5,39.0,14.0,433.0,28.8,125.5,25.4,4.8,65.59,10.68,3.84,2.11,1.24,yellow,NA,2022-10-10 10:33:28,NA,4-15
979,5104$ROW15$RANGE5$PHK76 X LH198,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,15,5,5104.0,PHK76 X LH198,2022-05-22,2022-07-19,2022-07-24,58.0,63.0,5.0,1320.57,1451.51,130.94,89.0,169.0,NA,6.58,60.09,13.2,62.3,15.4,13.0,3.6,2.5,32.8,13.0,377.0,19.6,78.8,17.9,5.4,68.97,10.39,3.82,1.28,1.01,yellow,NA,2022-10-10 10:52:50,NA,5-15
980,5105$ROW15$RANGE6$LH195 X 3IIH6,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,15,6,5105.0,LH195 X 3IIH6,2022-05-22,2022-07-24,2022-07-25,63.0,64.0,1.0,1451.51,1479.48,27.97,65.0,156.0,NA,2.44,22.2,13.5,62.0,18.0,16.9,4.4,3.1,38.2,17.5,538.0,21.0,113.4,24.3,4.91,66.23,12.27,3.87,1.65,1.41,yellow,NA,2022-10-10 11:05:51,NA,6-15
981,5106$ROW15$RANGE7$SYNGENTA NK0760-3111,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,15,7,5106.0,SYNGENTA NK0760-3111,2022-05-22,2022-07-24,2022-07-23,63.0,62.0,-1.0,1451.51,1422.27,-29.24,87.0,180.0,NA,10.94,99.9,13.2,61.9,18.9,17.8,4.4,2.6,40.2,14.5,535.0,26.4,153.7,24.1,4.55,69.11,9.56,4.53,1.9,1.49,yellow,NA,2022-10-10 11:29:10,NA,7-15
982,5107$ROW15$RANGE8$2369 X PHN82,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,15,8,5107.0,2369 X PHN82,2022-05-22,2022-07-23,2022-07-23,62.0,62.0,0.0,1422.27,1422.27,0.0,79.0,164.0,NA,10.15,91.51,14.3,61.1,15.8,13.6,4.0,2.9,34.8,15.5,412.0,22.6,97.0,19.6,4.93,68.02,9.05,3.58,1.11,1.11,yellow,NA,2022-10-10 11:42:39,NA,8-15
983,5108$ROW16$RANGE2$PHP02 X PHN46,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,16,2,5108.0,PHP02 X PHN46,2022-05-22,2022-07-21,2022-07-21,60.0,60.0,0.0,1370.73,1370.73,0.0,75.0,150.0,NA,7.35,66.73,13.7,62.2,15.9,14.4,4.0,2.9,31.2,15.5,392.0,21.1,83.7,17.7,4.55,67.95,12.25,3.7,1.54,1.35,yellow,NA,2022-10-10 09:57:02,NA,2-16
984,5109$ROW16$RANGE3$PHP02 X PHK56,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,16,3,5109.0,PHP02 X PHK56,2022-05-22,2022-07-19,2022-07-24,58.0,63.0,5.0,1320.57,1451.51,130.94,75.0,153.0,NA,3.87,34.89,14.3,61.6,14.9,14.5,3.9,2.5,35.8,15.5,448.0,21.6,105.0,18.9,4.34,65.03,11.78,3.83,1.66,1.21,yellow,NA,2022-10-10 10:22:50,NA,3-16
985,5110$ROW16$RANGE4$PHB47 X PHK56,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,16,4,5110.0,PHB47 X PHK56,2022-05-22,2022-07-19,2022-07-21,58.0,60.0,2.0,1320.57,1370.73,50.16,63.0,175.0,NA,7.38,66.69,14.1,61.8,16.1,14.6,4.0,2.4,35.8,14.5,472.0,24.1,117.4,23.4,4.3,64.52,11.91,3.59,1.65,1.02,yellow,NA,2022-10-10 10:33:52,NA,4-16
986,5111$ROW16$RANGE5$HOEGEMEYER 7089 AMXT,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,16,5,5111.0,HOEGEMEYER 7089 AMXT,2022-05-22,2022-07-21,2022-07-21,60.0,60.0,0.0,1370.73,1370.73,0.0,80.0,169.0,NA,13.87,126.8,13.1,62.3,15.8,14.4,3.9,2.5,28.0,15.0,403.0,28.2,112.8,18.4,3.23,68.32,8.99,3.68,1.27,1.12,yellow,NA,2022-10-10 10:52:26,NA,5-16
987,5112$ROW16$RANGE6$LH195 X PHZ51,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,16,6,5112.0,LH195 X PHZ51,2022-05-22,2022-07-24,2022-07-25,63.0,64.0,1.0,1451.51,1479.48,27.97,80.0,180.0,NA,4.0,36.15,14.1,61.7,17.0,15.9,4.0,2.6,38.0,15.8,488.0,23.7,117.2,24.0,4.56,69.54,10.82,4.38,0.52,1.03,yellow,NA,2022-10-10 11:06:15,NA,6-16
988,5113$ROW16$RANGE7$PHP02 X PHG47,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,16,7,5113.0,PHP02 X PHG47,2022-05-22,2022-07-18,2022-07-19,57.0,58.0,1.0,1295.5,1320.57,25.07,80.0,180.0,NA,6.22,57.0,12.9,62.2,14.8,14.8,3.9,2.5,32.5,16.5,438.0,18.5,91.1,15.9,4.37,65.39,11.85,4.05,1.14,1.3,yellow,NA,2022-10-10 11:28:50,NA,7-16
989,5114$ROW16$RANGE8$PHK56 X LH198,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,16,8,5114.0,PHK56 X LH198,2022-05-22,2022-07-19,2022-07-25,58.0,64.0,6.0,1320.57,1479.48,158.91,83.0,170.0,NA,6.29,57.37,13.3,61.9,12.9,12.5,3.6,2.5,29.5,16.0,403.0,20.3,82.9,15.3,4.77,65.1,12.36,4.09,1.7,1.13,yellow,NA,2022-10-10 11:43:03,NA,8-16
990,5115$ROW17$RANGE2$PHN46 X PHK56,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,17,2,5115.0,PHN46 X PHK56,2022-05-22,2022-07-21,2022-07-23,60.0,62.0,2.0,1370.73,1422.27,51.54,52.0,149.0,NA,3.28,29.92,13.3,62.3,13.0,12.8,4.2,2.2,32.5,16.5,415.0,25.8,110.8,17.5,4.31,67.08,9.49,3.2,1.32,0.98,yellow,NA,2022-10-10 09:57:30,NA,2-17
991,5116$ROW17$RANGE3$B37 X H95,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,17,3,5116.0,B37 X H95,2022-05-22,2022-07-27,2022-07-31,66.0,70.0,4.0,1522.76,1607.61,84.85,79.0,172.0,NA,2.1,18.98,14.1,61.7,15.1,13.8,3.6,2.6,27.8,16.5,366.0,21.1,77.8,20.9,4.8,66.75,11.52,4.58,1.81,1.06,yellow,NA,2022-10-10 10:22:28,NA,3-17
992,5117$ROW17$RANGE4$PHK56 X LH82,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,17,4,5117.0,PHK56 X LH82,2022-05-22,2022-07-19,2022-07-21,58.0,60.0,2.0,1320.57,1370.73,50.16,67.0,141.0,NA,6.47,58.95,13.4,62.2,13.6,12.8,3.6,2.4,30.5,15.0,381.0,23.1,87.7,14.7,4.76,69.65,9.57,4.43,0.89,1.05,yellow,NA,2022-10-10 10:34:15,NA,4-17
993,5118$ROW17$RANGE5$HOEGEMEYER 8065RR,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,17,5,5118.0,HOEGEMEYER 8065RR,2022-05-22,2022-07-19,2022-07-21,58.0,60.0,2.0,1320.57,1370.73,50.16,70.0,169.0,NA,9.85,89.02,14.1,61.4,17.8,16.5,4.5,3.0,39.2,15.0,533.0,29.7,155.2,18.6,4.59,67.74,9.52,3.77,1.35,1.27,yellow,NA,2022-10-10 10:52:02,NA,5-17
994,5119$ROW17$RANGE6$PHW52 X PHZ51,Lincoln,Lincoln,0.0,Low,75.0,NA,17.5,NA,1.0,17,6,5119.0,PHW52 X PHZ51,2022-05-22,2022-07-21,2022-07-25,60.0,64.0,4.0,1370.73,1479.48,108.75,81.0,193.0,NA,6.39,57.55,14.4,61.2,18.1,16.9,4.5,3.0,36.0,17.0,526.0,29.4,153.4,25.8,4.94,71.22,9.52,4.31,0.89,0.99,orange,NA,2022-10-10 11:06:40,NA,6-17
